place,sentence,system_best_time,system_crowd_level,system_cost_level,true_best_time,true_crowd_level,true_cost_level,notes
Old_Parliament_Building,very european looking,,,,0,0,0,
Galle_Fort_Lighthouse,the lighthouse is a full functioning lighthouse guiding the ships and boats passing by sri lanka via the indian ocean,,,,0,0,0,
Mirissa_Beach,"Unfortunately, we had already paid for four nights in Mirirssa and that is four days of our vacation that we will not get back.",,,,0,0,0,
Viharamahadevi_Park,In European terms an average park.,,,,0,0,0,
Japanese_Peace_Pagoda_-_Rumassala,we came up here on a motorbike (it would be a good walk from unawatuna) in the evening,,,,0,0,0,
Wolvendaal_Church,"i've been to this church twice, once for a wedding and the second time with colombo city walks",,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,More rainfall required to see the waterfall in all it's cascading glory.,,,,0,0,0,
Horton_Plains_National_Park,"Lovely waterfall, however it was too foggy to view the world’s end.",,,,0,0,0,
St_Anthony_s_Shrine,"beautiful, peaceful church",,,,0,0,0,
Elephant_Transit_Home_ETH,There is no commercialism to this venue.,,,,0,0,0,
Lovamahapaya_Brazen_Palace,You could not expect to find too much from the site during your visit here.,,,,0,0,0,
Moon_Plains,worst safari service i ever seen,,,,0,0,0,
Udawalawe_National_Park,The drive through the park took four hours.,,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,Unfortunately the water level was low so there wasn’t a large water falls as one would have expected to see.,,,,0,0,0,
Devon_Falls,this is a must see for anyone on their way to nuwara eliya,,,,0,0,0,
Koggala_Lake,It was the wettest day of our holiday.,,,,0,0,0,
Hurulu_Eco_Park,this is a great np to spot herds of elephants,,,,0,0,0,
Buduruwagala_Temple,this shows the history of sri lanka,,,,0,0,0,
Sinharaja_Forest_Reserve,After walking on small paths through the forest we finally arrived at a beautiful waterfall were you could swimm and even jump down.,,,,0,0,0,
Ceylon_Tea_Museum,being a long resident and visitor to kandy for over thirty years i have taken many guests to this museum over the years but not for a few years until recently,,,,0,0,0,
Muthurajawela_Marsh,However at Rp2600 fir two plus Rp2500 for the tuk tuk for 3 hours or so (must stay for the return) it was a lot cheaper than the Rp9000 each being quoted by the hotel.,,,,0,0,0,
Jaya_Sri_Maha_Bodhi,"Don't forget to pack a pair of old socks because you have to take off your shoes, and the ground is hot.",,,,0,0,0,
Kandy_Lake,the lake is very photogenic,,,,0,0,0,
Handunugoda_Tea_Estate,and a sign is posted asking you not to tip your tour guide but to put funds in a general bin if you liked your tour.,,,,0,0,0,
Independence_Memorial_Hall,we visited the indipendenc memorial hall and could admire many brides and bridegrooms who had gone to this place of colombo for their wedding pics,,,,0,0,0,
Galle_Fort_Lighthouse,"a beautiful lighthouse, with access through the fort",,,,0,0,0,
Sea_Turtle_Farm_Galle_Mahamodara,i visited this place yesterday,,,,0,0,0,
Sea_Turtle_Farm_Galle_Mahamodara,this place is awesome to visit in sri lanka there are many injuried turtles,,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,"Well, really is is a smallish waterfall with a sort of ""plunge pool"" at its base, full of westerners.",,,,0,0,0,
Pidurangala_Rock,"If you do climb for sunset, make sure you have a torch for the way down as it gets dark very quickly.",,,,0,0,0,
Pidurutalagala,"In some seasons, it may too cold top of the mountain.",,,,0,0,0,
Dunhinda_FallsUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Waterfall itself was nice but we couldn't see any way down to the water.,,,,0,0,0,
Ella_Rock,"ella rock is a decent hike, 2 hours up, 2 hours down, with no scrambling required but good hiking footwear is a must",,,,0,0,0,
Pidurangala_Rock,Difficult roads lead to amazing places.,,,,0,0,0,
Kalutara_Bodhiya,kalutara bhodiya is a one of largest temple in sri lanka,,,,0,0,0,
Coconut_Tree_Hill,amazing view of mirissa beach and how the palm trees nestled against the cliff is one fantastic scene,,,,0,0,0,
Kalutara_Bodhiya,interesting and clean bigger than it looks this is still in use and local people are always there praying,,,,0,0,0,
Gal_Vihara,one of the highlights of polonnaruwa,,,,0,0,0,
Nine_Arches_BridgeSomeone_from_this_business_manages_the_listing,"We were there at around 11am, so I suppose getting there earlier would have meant it was quieter.",,,,0,0,0,
Little_Adam_s_Peak_View_Point,It took about 45mins to get to the top and the same returning.,,,,0,0,0,
Casuarina_Beach,"casuarina beach (karainagar, jaffna) – famous for calm, shallow waters and white sand",,,,0,0,0,
Galle_Face_Green,great place to meet the locals and try the local food from kiosks during the evening,,,,0,0,0,
Wilpattu_National_Park,Around 4 hours of driving from main gate.,,,,0,0,0,
Ariyapala_Mask_Museum,we stopped at the mask museum on our way to colombo,,,,0,0,0,
Mulgirigala_Raja_Maha_Vihara,Because we did not visit Sigirya and Dambulla we went here and thought is was wonderful..,,,,0,0,0,
Mulgirigala_Raja_Maha_Vihara,This isn't free.,,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,Water is not very warm but you can swim so bring swimsuits.,,,,0,0,0,
Hakgala_Botanic_Gardens,you could see a variety of flowers plants and other related fauna,,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,We visited the Falls twice in two weeks it was an amazing experience the second time they had been torrential rain so the waterfall looked amazing,,,,0,0,0,
Dehiwala_Zoo_-_Sri_Lanka,good experience elephant show best one,,,,0,0,0,
Jaffna_Public_Library,first of all the gardens seem like a little slice of eden in the heat of a jaffna mid morning,,,,0,0,0,
Temple_of_the_Sacred_Tooth_Relic,the temple of the tooth in kandy is one of the most beautiful and meaningful places i visited in sri lanka,,,,0,0,0,
Jami_Ul-Alfar_Mosque,jami ul-afar mosque is located in the centre of the old town so the best way to reach it is to walk to it,,,,0,0,0,
Lover_s_Leap_Falls,walk up to the falls.,,,,0,0,0,
Galle_Fort_Lighthouse,Best option for photo.,,,,0,0,0,
Kosgoda_Sea_Turtle_Conservation_Project,tourist are totally neglected.,,,,0,0,0,
Sea_Turtle_Farm_Galle_Mahamodara,this is a place where the turtles have a chance to survive the stupidity of humans,,,,0,0,0,
Temple_of_the_Sacred_Tooth_Relic,the temple houses the left canine of buddha,,,,0,0,0,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,- Walking up Adams Peak we were boiling but I would deffinatley recommend bringing warm clothes for the top!,,,,0,0,0,
Temple_of_the_Sacred_Tooth_Relic,We were part of an organised group visit so I don't know what the entrance price is.,,,,0,0,0,
Elephant_Transit_Home_ETH,However the signs telling us to keep silent in Sinhalese and English were very much ignored by locals and tourists alike.,,,,0,0,0,
Hiriketiya_Beach,What a shame the locals are acting like this.,,,,0,0,0,
Gregory_Lake,Tranquillity!!!.,,,,0,0,0,
Marble_Beach,The beach is in an inlet so is safe for swimming (there are areas marked with flags to make sure you did not stray).,,,,0,0,0,
Jaffna_Fort,jaffna fort we were happy to visit there,,,,0,0,0,
Nalanda_Gedige,we been there in light rains,,,,0,0,0,
Horton_Plains_National_Park,"Park is easily accessible from Nuwara Eliya, you can choose from different kind of transports.",,,,0,0,0,
Independence_Memorial_Hall,very attractive place and quite place though it is bustling place,,,,0,0,0,
Elephant_Transit_Home_ETH,"as an animal lover, i was concerned about visiting this place",,,,0,0,0,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,This could be before the skies open up for afternoon rain.,,,,0,0,0,
