place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence,place_total_mentions,TF,doc_freq,IDF,TF_IDF,defining_score
Aberdeen Falls,Waterfall,18,2,6,26,positive,0.803,It is well worth the trip to this awesome waterfall.,54,0.48148148148148145,24,1.927891643552635,0.9282441246734908,0.7453800321128132
Aberdeen Falls,Leeches,0,5,0,5,negative,0.8,"jungle on a uneven path that became smaller and smaller.We saw butterflies and reptiles, but als discovered the path was full of leeches, and we were dresses in shorts with slippers...Two of us returned halfway to the car, the rest made it to the falls: what a majestic waterfall, what a noise!",54,0.09259259259259259,8,3.0265039322207445,0.28023184557599484,0.2241854764607959
Aberdeen Falls,Rock formation,1,2,4,7,neutral,0.766,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers.",54,0.12962962962962962,20,2.1102132003465894,0.2735461556004838,0.20953635518997057
Aberdeen Falls,River,2,0,3,5,neutral,0.78,It's an impressive 98m fall that joins Kehelgamuwa river and Maskeli river and also known as the most beautiful location of the Kehelgamuwa river.,54,0.09259259259259259,33,1.6094379124341003,0.14902202892908334,0.116237182564685
Aberdeen Falls,Stairs,1,1,3,5,neutral,0.764,There are steps and few leeches.,54,0.09259259259259259,47,1.255797872190522,0.11627758075838167,0.0888360716994036
Abhayagiri Dagaba,Stupa,33,5,54,92,neutral,0.772,The Abhayagiri Dagoba will be spectacular once its sheds its bamboo skirt.,264,0.3484848484848485,29,1.7386496439141066,0.6058930577276432,0.4677494405657406
Abhayagiri Dagaba,Ancient ruins,8,1,10,19,neutral,0.777,Moonstones and extensive monastery ruins are the best,264,0.07196969696969698,23,1.9704512579714308,0.14181277992976207,0.11018853000542514
Abhayagiri Dagaba,Buddha statue,10,2,7,19,positive,0.809,"sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc.",264,0.07196969696969698,47,1.255797872190522,0.09037939231674212,0.07311692838424438
Abhayagiri Dagaba,Temple,8,2,17,27,neutral,0.768,"and monuments of ancient ruins such as great dagabas, temples with great sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc.",264,0.10227272727272728,76,0.7752121336142496,0.07928305911963916,0.06088938940388288
Abhayagiri Dagaba,Heritage site,4,0,7,11,neutral,0.784,"At the Dagoba a big Buddha footprint is on the north side, this site has a feeling of strength and bas reliefs and inside the inside section many beautiful Buddhas to look at we always have small compass attached to our day pack and you find this a handy item when touring all historical sites.",264,0.041666666666666664,30,1.7047480922384253,0.07103117050993438,0.05568843767978855
Ambewela Farms,Wildlife,31,10,32,73,neutral,0.786,"Recommend to any one who loves the nature and animals!,",561,0.13012477718360071,54,1.1169614273363062,0.14534435685481348,0.11424066448788339
Ambewela Farms,Mountain,21,1,12,34,positive,0.778,They drive is very beautiful and picturesque - with hills covered in mist and dotted with cattle grazing around.,561,0.06060606060606061,24,1.927891643552635,0.11684191779106878,0.09090301204145151
Ambewela Farms,Family friendliness,51,5,26,82,positive,0.752,"Cool climes, Pastures more than green, Great place for kids and people who love to see the dairy industry indights to give it a go, dont miss to enjoy a hot glass of milk or munch a cube of fresh chesse",561,0.14616755793226383,89,0.6173091041684409,0.09023056424565447,0.06785338431273216
Ambewela Farms,Food quality,16,0,3,19,positive,0.78,"Have good food, but the star attraction on food department is the Fresh Milk.",561,0.0338680926916221,16,2.3333567516607996,0.07902634274787021,0.061640547343338764
Ambewela Farms,Restaurants,11,3,14,28,neutral,0.774,The cheese factory was closed when we went and the restaurant's idea of milk shake was a scoop of ice cream in a glass of milk.,561,0.049910873440285206,49,1.214125175789954,0.06059804798951642,0.04690288914388571
Ambuluwawa Tower,Mountain,17,2,7,26,positive,0.787,"ongoing mist.It has several viewing platforms for to enjoy the stunning views.When we climb to the top of this tower,we can see Adam's peak,Knuckles range,Bagathale rock,Piduruthalagala mountain.This is an awesome experience I had ever experienced.",256,0.1015625,24,1.927891643552635,0.19580149504831448,0.1540957766030235
