poi_name,category
Aberdeen Falls,Waterfall
Abhayagiri Dagaba,Religious Site
Ambewela Farms,Farm / Factory
Ambuluwawa Tower,Landmark / Tower
Ancient City of Polonnaruwa,Heritage Site
Angurukaramulla Temple,Religious Site
Arugam Bay,Beach
Bahiravokanda Vihara Buddha Statue,Religious Site
Baker's Falls,Waterfall
Bambarakanda Falls,Waterfall
Batticaloa Fort,Fort / Historic Site
Beddegana Wetland Park,Wetland / Nature Park
Bentota Beach,Beach
Bogoda Wooden Bridge,Heritage Site
Bopath Ella (Bopath Falls),Waterfall
Brief Garden - Bevis Bawa,Garden / Park
Buduruwagala Temple,Religious Site
Casuarina Beach,Beach
Ceylon Tea Museum,Museum
Coconut Tree Hill,Viewpoint / Hiking
Colombo Lotus Tower,Landmark / Tower
Colombo National Museum,Museum
Dagoba of Thuparama,Religious Site
Dambulla Cave Temple,Religious Site
Dehiwala Zoo - Sri Lanka,Zoo / Wildlife Attraction
Demodara Loop,Engineering Landmark
Devon Falls,Waterfall
Diyaluma Falls,Waterfall
Diyatha Uyana,Garden / Park
Dondra Head Lighthouse,Lighthouse
Dunhinda Falls,Waterfall
Dutch Hospital Shopping Precinct,Shopping / Market
Elephant Pass,Landmark / Historic Site
Elephant Transit Home (ETH),Wildlife Conservation
Ella Rock,Viewpoint / Hiking
Embekka Devalaya,Religious Site
Fort Frederick,Fort / Historic Site
Gal Oya National Park,National Park / Wildlife Reserve
Gal Vihara,Religious Site
Galle Dutch Fort,Fort / Historic Site
Galle Face Green,Urban Park / Promenade
Galle Face Hotel,Hotel
Galle Fort Lighthouse,Lighthouse
Galway's Land National Park,National Park / Wildlife Reserve
Gangaramaya Temple,Religious Site
Gartmore Falls,Waterfall
Goyambokka Beach,Beach
Gregory Lake,Lake / River
Hakgala Botanic Gardens,Garden / Park
Handunugoda Tea Estate,Farm / Factory
Henerathgoda Botanical Garden,Garden / Park
Hikkaduwa Beach,Beach
Hiriketiya Beach,Beach
Horton Plains National Park,National Park / Wildlife Reserve
Hummanaya Blow Hole,Natural Landmark
Hurulu Eco Park,National Park / Wildlife Reserve
Independence Memorial Hall,Memorial / Landmark
Isurumuniya Temple,Religious Site
Jaffna Fort,Fort / Historic Site
Jaffna Public Library,Cultural Landmark
Jami Ul-Alfar Mosque,Religious Site
Japanese Peace Pagoda - Rumassala,Religious Site
