place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence
Aberdeen Falls,Accessibility,1,0,0,1,positive,0.88,The fall itself is excellent for swimming and is in a way that getting close to the fall is easily accessible even for weaker swimmers.
Aberdeen Falls,Bridge,0,0,2,2,neutral,0.74,About 20 mts from Norton Bridge.
Aberdeen Falls,Buddha statue,0,0,1,1,neutral,0.78,"To reach Aberdeen Falls from the city of Ginigathena, follow the Ambatale road to the Buddha statue at the end of the road."
Aberdeen Falls,Cafes,0,0,1,1,neutral,0.78,"There was a coffee shop halfway down the stairs, owned by a foreign couple."
Aberdeen Falls,Cleanliness,1,1,0,2,positive,0.86,Please don’t litter during the hike.
Aberdeen Falls,Crowdedness,0,2,0,2,negative,0.82,"She 's a power packed natural wonder, at 300 plus feet , serene to a fault during height of the dry season yet wild and dangerous when the rains set in."
Aberdeen Falls,Family friendliness,2,0,2,4,positive,0.74,really beautiful water falls their is viewing point also its really safe place good to visit with family
Aberdeen Falls,Forest,0,1,2,3,neutral,0.76,"We had to teave our car at the end of the asphalt road (where the bus turns) and had to go continue through the jungle on a uneven path that became smaller and smaller.We saw butterflies and reptiles, but als discovered the path was full of leeches, and we were dresses in shorts with slippers...Two of"
Aberdeen Falls,Lake,0,0,1,1,neutral,0.66,"Be brave , get into the lake and have a blast just don’t think about the fact you have to climb all the way back up to the top !"
Aberdeen Falls,Leeches,0,5,0,5,negative,0.8,"jungle on a uneven path that became smaller and smaller.We saw butterflies and reptiles, but als discovered the path was full of leeches, and we were dresses in shorts with slippers...Two of us returned halfway to the car, the rest made it to the falls: what a majestic waterfall, what a noise!"
Aberdeen Falls,Mountain,1,0,3,4,neutral,0.695,You go through some lovely Mountain villages to get there.Then a descent down to the falls along a foot path.
Aberdeen Falls,Noise level,0,1,0,1,negative,0.8,"in shorts with slippers...Two of us returned halfway to the car, the rest made it to the falls: what a majestic waterfall, what a noise!"
Aberdeen Falls,Parking,1,0,1,2,positive,0.77,The walk to the fall after parking your car is about 15 minutes in pretty easy terrain (there are slight tough bits).
Aberdeen Falls,Peacefulness,3,0,0,3,positive,0.787,"She 's a power packed natural wonder, at 300 plus feet , serene to a fault during height of the dry season yet wild and dangerous when the rains set in."
Aberdeen Falls,Public transport access,0,1,2,3,neutral,0.76,"We had to teave our car at the end of the asphalt road (where the bus turns) and had to go continue through the jungle on a uneven path that became smaller and smaller.We saw butterflies and reptiles, but als discovered the path was full of leeches, and we"
Aberdeen Falls,River,2,0,3,5,neutral,0.78,It's an impressive 98m fall that joins Kehelgamuwa river and Maskeli river and also known as the most beautiful location of the Kehelgamuwa river.
Aberdeen Falls,Road access,2,3,8,13,neutral,0.662,"It was about 20 mins from the city.We parked our car by the road and hiked our way though a trail which leads to the water 1km or 20 min hike approximately.There are a lot of leaches on the way,so use precaution like carry salt water or repellant spray."
Aberdeen Falls,Rock formation,1,2,4,7,neutral,0.766,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers."
Aberdeen Falls,Safety,4,2,0,6,positive,0.827,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers."
Aberdeen Falls,Sandy beach,1,0,2,3,neutral,0.68,Falls is safe but be super careful at the edge of the sand bank that extends to right underneath the falls.
Aberdeen Falls,Scenic view,3,0,2,5,positive,0.732,Breathtaking view
Aberdeen Falls,Sculptures,0,0,1,1,neutral,0.74,"To reach Aberdeen Falls from the city of Ginigathena, follow the Ambatale road to the Buddha statue at the end of the road."
Aberdeen Falls,Service quality,1,0,0,1,positive,0.8,Taking frequent breaks and hiking slow will be helpful for such people.
Aberdeen Falls,Shops,0,0,1,1,neutral,0.61,"There was a coffee shop halfway down the stairs, owned by a foreign couple."
Aberdeen Falls,Signage,0,0,1,1,neutral,0.74,"On the way from colombo to kithulgala on the a7 road we saw some signage for Aberdeen falls,so checked it out."
Aberdeen Falls,Stairs,1,1,3,5,neutral,0.764,There are steps and few leeches.
Aberdeen Falls,Strong current,1,0,1,2,positive,0.79,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers."
Aberdeen Falls,Ticket price,1,0,0,1,positive,0.8,"Clean toilet facilities available in the adjoining house (Rs 20 pp) were most welcome!At my age of 78, I did not find the descent and the return ascent easy."
Aberdeen Falls,Toilets,1,0,0,1,positive,0.84,"Clean toilet facilities available in the adjoining house (Rs 20 pp) were most welcome!At my age of 78, I did not find the descent and the return ascent easy."
Aberdeen Falls,Trail,4,2,4,10,positive,0.716,While it is a bit off the track both the hike and the waterfall at the end is well worth the detour.
Aberdeen Falls,Viewpoint,1,1,2,4,neutral,0.8,really beautiful water falls their is viewing point also its really safe place good to visit with family
Aberdeen Falls,Water depth,0,0,4,4,neutral,0.7,We can walk on the shallow sand strip right near to the falls.
Aberdeen Falls,Waterfall,18,2,6,26,positive,0.803,It is well worth the trip to this awesome waterfall.
Aberdeen Falls,Weather condition,0,2,0,2,negative,0.78,"Once you’ve conquered the thousands of steps, trip hazards and slippery rocks you’ll have a wonderful time swimming under the waterfall, don’t be intimidated by its height, the waterfall just hits you like a rain shower."
Abhayagiri Dagaba,Accessibility,2,0,0,2,positive,0.88,This gives you are nice view and easy access.
Abhayagiri Dagaba,Accommodation,0,0,3,3,neutral,0.74,"Dress appropriately, or buy and carry a sarong to put over your shorts (or borrow one from your guesthouse host)."
Abhayagiri Dagaba,Ancient ruins,8,1,10,19,neutral,0.777,Moonstones and extensive monastery ruins are the best
Abhayagiri Dagaba,Beach,0,0,1,1,neutral,0.74,Save your money and just go south to the beach .
Abhayagiri Dagaba,Birds,1,0,0,1,positive,0.8,"As bonus, I saw three wild peacocks strutting around the site too.Not so pleasant were inquisitive monkeys and wild dogs.Also, sun block cream and insect repellent would be handy.Among the ruins to the east, a short walk away leads you to a lovely piece of sculpture called the Samadhi Buddha."
Abhayagiri Dagaba,Buddha statue,10,2,7,19,positive,0.809,"sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc."
Abhayagiri Dagaba,Church,0,0,1,1,neutral,0.74,It is the noise of traditional music as an organ may be playing if you were to visit a Cathedral.
Abhayagiri Dagaba,Cleanliness,4,1,0,5,positive,0.88,"The reason not just the dirty floor (these places wasn't really dirty), very often the stone very hot without shoes.I recommend you, before the visit you must read some historical fact about this place, will be interesting the visit!"
Abhayagiri Dagaba,Crowdedness,2,5,1,8,negative,0.832,"This dagoba was so busy with locals praying and visiting, so we decided to enjoy the view of this dagoba from the enterance."
Abhayagiri Dagaba,Elephants,2,0,0,2,positive,0.8,"Some of the interesting constructions are elephant tree, Lord Buddha’s footprint with large slab and moonstones made from granite stones."
Abhayagiri Dagaba,Entrance fee,2,1,2,5,positive,0.808,Whether the LKR3.5K/foreigner fee (half price for under-13s) for access to Anuradhapura’s ruins is “worth it” depends on your expectations.
Abhayagiri Dagaba,Food quality,0,0,2,2,neutral,0.66,"“No, we don’t have that dish, or that one either.” The “New Zealand beef” in the salad was practically inedible."
Abhayagiri Dagaba,Forest,2,0,2,4,positive,0.78,"Visually stunning, this colossal stupa soars above the forest floor."
Abhayagiri Dagaba,Heritage site,4,0,7,11,neutral,0.784,"At the Dagoba a big Buddha footprint is on the north side, this site has a feeling of strength and bas reliefs and inside the inside section many beautiful Buddhas to look at we always have small compass attached to our day pack and you find this a handy item when touring all historical sites."
Abhayagiri Dagaba,Hindu shrine,0,1,2,3,neutral,0.76,We went on a really hot day and could hardly walk without shoes on the stone floor as we have to remove shoes as it is a place of worship with shrine rooms.
Abhayagiri Dagaba,Lake,1,0,0,1,positive,0.72,The huge tank at the front is also impressive
Abhayagiri Dagaba,Local guide,2,2,1,5,positive,0.778,"The area is too big to cover on foot in a single day and, whilst bicycles and TukTuks are easy and cheap to hire, I would recommend a driver/guide who can direct you to and provide commentary on the most significant sites."
Abhayagiri Dagaba,Mountain,1,0,2,3,neutral,0.72,"This is a big mound and the building in front of it with the reclining buddha (a good one due to patterns on the palms) has painting showing the construction of it, basically shaping and bricking a hill."
Abhayagiri Dagaba,Museum,3,2,4,9,neutral,0.773,There is a nice guidebook for sale in the museum attached to the Isurumuni Vihara monument for R250 22pages of A4 colour pics and detailed accounts of the main sites that shows how overgrown this was before it was restored.
Abhayagiri Dagaba,Noise level,0,1,0,1,negative,0.8,It is the noise of traditional music as an organ may be playing if you were to visit a Cathedral.
Abhayagiri Dagaba,Paintings,3,0,2,5,positive,0.792,"This is a big mound and the building in front of it with the reclining buddha (a good one due to patterns on the palms) has painting showing the construction of it, basically shaping and bricking a hill."
Abhayagiri Dagaba,Parking,0,1,2,3,neutral,0.773,And afternoon will be too hot.There are many other ancient ruins around this temple too .There is parking.
