id,question,expected_intent,detected_intent,intent_confidence,elapsed_seconds,faithfulness,answer_relevancy,context_precision,context_recall,user_input,retrieved_contexts,response,reference
Q_ACT_01,Where are the best places for swimming in Sri Lanka?,activity_query,activity_query,1.0,12.43,1.0,0.9936284952621632,0.9999999999,1.0,,,,
Q_ACT_02,Which destinations are good for bird watching in Sri Lanka?,activity_query,activity_query,1.0,10.19,1.0,0.9352453611221432,0.9999999999,1.0,,,,
Q_ACT_03,What are the best spots for hiking in Sri Lanka?,activity_query,activity_query,1.0,13.73,1.0,0.954978237896432,0.99999999995,1.0,,,,
Q_ACT_04,Which places are popular for exploring ancient ruins in Sri Lanka?,activity_query,activity_query,1.0,9.93,1.0,0.9797794873065212,0.9999999999,0.75,,,,
Q_ACT_05,Where can I visit famous Buddhist temples in Sri Lanka?,activity_query,activity_query,0.95,12.16,1.0,0.9547485322550224,0.999999999975,1.0,,,,
Q_ACT_06,Where can I experience a wildlife safari in Sri Lanka?,activity_query,activity_query,1.0,18.83,0.95,0.9403851793110042,0.9999999999,1.0,,,,
Q_ACT_07,What are the best places for boating and boat rides in Sri Lanka?,activity_query,activity_query,0.98,12.42,0.8918918918918919,0.9975462664556164,0.9999999999,0.7142857142857143,,,,
Q_ACT_08,What are the best locations for bird watching in Sri Lanka?,activity_query,activity_query,1.0,9.86,0.9166666666666666,0.9071731986303292,0.9999999999,1.0,,,,
Q_ACT_09,Where can I go for scenic photography and viewpoint visits in Sri Lanka?,activity_query,activity_query,0.98,14.3,1.0,0.9661666752762113,0.999999999975,1.0,,,,
Q_ACT_10,Where can I go surfing and whale watching in Sri Lanka?,activity_query,activity_query,1.0,10.95,0.8333333333333334,0.9508529347433966,0.8333333332916666,1.0,,,,
Q_FEA_01,Which heritage sites feature ancient ruins?,feature_query,feature_query,0.95,6.74,0.7894736842105263,0.9589936749571856,0.99999999998,1.0,,,,
Q_FEA_02,Which places have tea plantations and a scenic view?,feature_query,feature_query,0.95,10.45,1.0,0.958252349630916,0.8055555555287036,1.0,,,,
Q_FEA_03,Which temples are located in caves?,feature_query,feature_query,0.95,11.06,0.7368421052631579,0.7737679085073387,0.9999999999,0.75,,,,
Q_FEA_04,Which places have both sculptures and paintings?,feature_query,feature_query,0.85,9.72,0.8333333333333334,0.9385928096330032,0.9999999999666668,0.4,,,,
Q_FEA_05,Which beaches are known for their sunset views?,feature_query,feature_query,0.98,10.03,0.8571428571428571,0.91211455848178,0.9166666666361112,1.0,,,,
Q_FEA_06,Which places have a museum?,feature_query,facility_query,0.85,8.92,0.8571428571428571,0.8522765753273945,0.5833333333041666,1.0,,,,
Q_FEA_07,Which places have a fort?,feature_query,feature_query,0.9,9.14,0.8666666666666667,0.6935550600631283,0.99999999995,1.0,,,,
Q_FEA_08,Which locations have a bridge?,feature_query,facility_query,1.0,14.07,1.0,0.697835224289289,0.9999999999,1.0,,,,
Q_FEA_09,Which places are associated with a lagoon?,feature_query,feature_query,0.95,9.64,0.875,0.8083587445750143,0.49999999995,1.0,,,,
Q_FEA_10,Which beaches are noted for their shallow water depth?,feature_query,feature_query,0.98,9.39,0.9333333333333332,0.7626991403204134,0.8333333332916666,1.0,,,,
Q_LOC_01,What are the top attractions in the Kandy District?,location_query,location_query,1.0,11.98,0.9230769230769232,0.9999999999999996,0.9999999999,1.0,,,,
